questionText,answerText,tags
Sometimes bpd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,BPD
I have been feeling relationship lately.,I understand. Can you tell me more about how long you have felt this?,Relationship
It's getting hard to manage my general sadness symptoms.,That sounds difficult. When did you first notice this happening?,General Sadness
Sometimes I feel overwhelmed because of depression.,I’m here with you. What situations make it worse?,Depression
My emotions related to adhd are getting stronger.,Thank you for sharing. Does this feeling come and go?,ADHD
I cannot control my thoughts connected to schizophrenia.,I see. What do you think triggers this feeling?,Schizophrenia
I feel like bipolar is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,Bipolar
Lately I am struggling with anxiety a lot.,Can you tell me what usually happens when you feel this way?,Anxiety
I think my bpd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,BPD
My mind is constantly dealing with relationship issues.,Could you describe the last time this happened?,Relationship
Sometimes general sadness makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,General Sadness
I have been feeling depression lately.,I understand. Can you tell me more about how long you have felt this?,Depression
It's getting hard to manage my adhd symptoms.,That sounds difficult. When did you first notice this happening?,ADHD
Sometimes I feel overwhelmed because of schizophrenia.,I’m here with you. What situations make it worse?,Schizophrenia
My emotions related to bipolar are getting stronger.,Thank you for sharing. Does this feeling come and go?,Bipolar
I cannot control my thoughts connected to anxiety.,I see. What do you think triggers this feeling?,Anxiety
I feel like bpd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,BPD
Lately I am struggling with relationship a lot.,Can you tell me what usually happens when you feel this way?,Relationship
I think my general sadness is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,General Sadness
My mind is constantly dealing with depression issues.,Could you describe the last time this happened?,Depression
Sometimes adhd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,ADHD
I have been feeling schizophrenia lately.,I understand. Can you tell me more about how long you have felt this?,Schizophrenia
It's getting hard to manage my bipolar symptoms.,That sounds difficult. When did you first notice this happening?,Bipolar
Sometimes I feel overwhelmed because of anxiety.,I’m here with you. What situations make it worse?,Anxiety
My emotions related to bpd are getting stronger.,Thank you for sharing. Does this feeling come and go?,BPD
I cannot control my thoughts connected to relationship.,I see. What do you think triggers this feeling?,Relationship
I feel like general sadness is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,General Sadness
Lately I am struggling with depression a lot.,Can you tell me what usually happens when you feel this way?,Depression
I think my adhd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,ADHD
My mind is constantly dealing with schizophrenia issues.,Could you describe the last time this happened?,Schizophrenia
Sometimes bipolar makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,Bipolar
I have been feeling anxiety lately.,I understand. Can you tell me more about how long you have felt this?,Anxiety
It's getting hard to manage my bpd symptoms.,That sounds difficult. When did you first notice this happening?,BPD
Sometimes I feel overwhelmed because of relationship.,I’m here with you. What situations make it worse?,Relationship
My emotions related to general sadness are getting stronger.,Thank you for sharing. Does this feeling come and go?,General Sadness
I cannot control my thoughts connected to depression.,I see. What do you think triggers this feeling?,Depression
I feel like adhd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,ADHD
Lately I am struggling with schizophrenia a lot.,Can you tell me what usually happens when you feel this way?,Schizophrenia
I think my bipolar is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,Bipolar
My mind is constantly dealing with anxiety issues.,Could you describe the last time this happened?,Anxiety
Sometimes bpd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,BPD
I have been feeling relationship lately.,I understand. Can you tell me more about how long you have felt this?,Relationship
It's getting hard to manage my general sadness symptoms.,That sounds difficult. When did you first notice this happening?,General Sadness
Sometimes I feel overwhelmed because of depression.,I’m here with you. What situations make it worse?,Depression
My emotions related to adhd are getting stronger.,Thank you for sharing. Does this feeling come and go?,ADHD
I cannot control my thoughts connected to schizophrenia.,I see. What do you think triggers this feeling?,Schizophrenia
I feel like bipolar is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,Bipolar
Lately I am struggling with anxiety a lot.,Can you tell me what usually happens when you feel this way?,Anxiety
I think my bpd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,BPD
My mind is constantly dealing with relationship issues.,Could you describe the last time this happened?,Relationship
Sometimes general sadness makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,General Sadness
I have been feeling depression lately.,I understand. Can you tell me more about how long you have felt this?,Depression
It's getting hard to manage my adhd symptoms.,That sounds difficult. When did you first notice this happening?,ADHD
Sometimes I feel overwhelmed because of schizophrenia.,I’m here with you. What situations make it worse?,Schizophrenia
My emotions related to bipolar are getting stronger.,Thank you for sharing. Does this feeling come and go?,Bipolar
I cannot control my thoughts connected to anxiety.,I see. What do you think triggers this feeling?,Anxiety
I feel like bpd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,BPD
Lately I am struggling with relationship a lot.,Can you tell me what usually happens when you feel this way?,Relationship
I think my general sadness is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,General Sadness
My mind is constantly dealing with depression issues.,Could you describe the last time this happened?,Depression
Sometimes adhd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,ADHD
I have been feeling schizophrenia lately.,I understand. Can you tell me more about how long you have felt this?,Schizophrenia
It's getting hard to manage my bipolar symptoms.,That sounds difficult. When did you first notice this happening?,Bipolar
Sometimes I feel overwhelmed because of anxiety.,I’m here with you. What situations make it worse?,Anxiety
My emotions related to bpd are getting stronger.,Thank you for sharing. Does this feeling come and go?,BPD
I cannot control my thoughts connected to relationship.,I see. What do you think triggers this feeling?,Relationship
I feel like general sadness is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,General Sadness
Lately I am struggling with depression a lot.,Can you tell me what usually happens when you feel this way?,Depression
I think my adhd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,ADHD
My mind is constantly dealing with schizophrenia issues.,Could you describe the last time this happened?,Schizophrenia
Sometimes bipolar makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,Bipolar
I have been feeling anxiety lately.,I understand. Can you tell me more about how long you have felt this?,Anxiety
It's getting hard to manage my bpd symptoms.,That sounds difficult. When did you first notice this happening?,BPD
Sometimes I feel overwhelmed because of relationship.,I’m here with you. What situations make it worse?,Relationship
My emotions related to general sadness are getting stronger.,Thank you for sharing. Does this feeling come and go?,General Sadness
I cannot control my thoughts connected to depression.,I see. What do you think triggers this feeling?,Depression
I feel like adhd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,ADHD
Lately I am struggling with schizophrenia a lot.,Can you tell me what usually happens when you feel this way?,Schizophrenia
I think my bipolar is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,Bipolar
My mind is constantly dealing with anxiety issues.,Could you describe the last time this happened?,Anxiety
Sometimes bpd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,BPD
I have been feeling relationship lately.,I understand. Can you tell me more about how long you have felt this?,Relationship
It's getting hard to manage my general sadness symptoms.,That sounds difficult. When did you first notice this happening?,General Sadness
Sometimes I feel overwhelmed because of depression.,I’m here with you. What situations make it worse?,Depression
My emotions related to adhd are getting stronger.,Thank you for sharing. Does this feeling come and go?,ADHD
I cannot control my thoughts connected to schizophrenia.,I see. What do you think triggers this feeling?,Schizophrenia
I feel like bipolar is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,Bipolar
Lately I am struggling with anxiety a lot.,Can you tell me what usually happens when you feel this way?,Anxiety
I think my bpd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,BPD
My mind is constantly dealing with relationship issues.,Could you describe the last time this happened?,Relationship
Sometimes general sadness makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,General Sadness
I have been feeling depression lately.,I understand. Can you tell me more about how long you have felt this?,Depression
It's getting hard to manage my adhd symptoms.,That sounds difficult. When did you first notice this happening?,ADHD
Sometimes I feel overwhelmed because of schizophrenia.,I’m here with you. What situations make it worse?,Schizophrenia
My emotions related to bipolar are getting stronger.,Thank you for sharing. Does this feeling come and go?,Bipolar
I cannot control my thoughts connected to anxiety.,I see. What do you think triggers this feeling?,Anxiety
I feel like bpd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,BPD
Lately I am struggling with relationship a lot.,Can you tell me what usually happens when you feel this way?,Relationship
I think my general sadness is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,General Sadness
My mind is constantly dealing with depression issues.,Could you describe the last time this happened?,Depression
Sometimes adhd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,ADHD
I have been feeling schizophrenia lately.,I understand. Can you tell me more about how long you have felt this?,Schizophrenia
It's getting hard to manage my bipolar symptoms.,That sounds difficult. When did you first notice this happening?,Bipolar
Sometimes I feel overwhelmed because of anxiety.,I’m here with you. What situations make it worse?,Anxiety
My emotions related to bpd are getting stronger.,Thank you for sharing. Does this feeling come and go?,BPD
I cannot control my thoughts connected to relationship.,I see. What do you think triggers this feeling?,Relationship
I feel like general sadness is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,General Sadness
Lately I am struggling with depression a lot.,Can you tell me what usually happens when you feel this way?,Depression
I think my adhd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,ADHD
My mind is constantly dealing with schizophrenia issues.,Could you describe the last time this happened?,Schizophrenia
Sometimes bipolar makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,Bipolar
I have been feeling anxiety lately.,I understand. Can you tell me more about how long you have felt this?,Anxiety
It's getting hard to manage my bpd symptoms.,That sounds difficult. When did you first notice this happening?,BPD
Sometimes I feel overwhelmed because of relationship.,I’m here with you. What situations make it worse?,Relationship
My emotions related to general sadness are getting stronger.,Thank you for sharing. Does this feeling come and go?,General Sadness
I cannot control my thoughts connected to depression.,I see. What do you think triggers this feeling?,Depression
I feel like adhd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,ADHD
Lately I am struggling with schizophrenia a lot.,Can you tell me what usually happens when you feel this way?,Schizophrenia
I think my bipolar is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,Bipolar
My mind is constantly dealing with anxiety issues.,Could you describe the last time this happened?,Anxiety
Sometimes bpd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,BPD
I have been feeling relationship lately.,I understand. Can you tell me more about how long you have felt this?,Relationship
It's getting hard to manage my general sadness symptoms.,That sounds difficult. When did you first notice this happening?,General Sadness
Sometimes I feel overwhelmed because of depression.,I’m here with you. What situations make it worse?,Depression
My emotions related to adhd are getting stronger.,Thank you for sharing. Does this feeling come and go?,ADHD
I cannot control my thoughts connected to schizophrenia.,I see. What do you think triggers this feeling?,Schizophrenia
I feel like bipolar is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,Bipolar
Lately I am struggling with anxiety a lot.,Can you tell me what usually happens when you feel this way?,Anxiety
I think my bpd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,BPD
My mind is constantly dealing with relationship issues.,Could you describe the last time this happened?,Relationship
Sometimes general sadness makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,General Sadness
I have been feeling depression lately.,I understand. Can you tell me more about how long you have felt this?,Depression
It's getting hard to manage my adhd symptoms.,That sounds difficult. When did you first notice this happening?,ADHD
Sometimes I feel overwhelmed because of schizophrenia.,I’m here with you. What situations make it worse?,Schizophrenia
My emotions related to bipolar are getting stronger.,Thank you for sharing. Does this feeling come and go?,Bipolar
I cannot control my thoughts connected to anxiety.,I see. What do you think triggers this feeling?,Anxiety
I feel like bpd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,BPD
Lately I am struggling with relationship a lot.,Can you tell me what usually happens when you feel this way?,Relationship
I think my general sadness is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,General Sadness
My mind is constantly dealing with depression issues.,Could you describe the last time this happened?,Depression
Sometimes adhd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,ADHD
I have been feeling schizophrenia lately.,I understand. Can you tell me more about how long you have felt this?,Schizophrenia
It's getting hard to manage my bipolar symptoms.,That sounds difficult. When did you first notice this happening?,Bipolar
Sometimes I feel overwhelmed because of anxiety.,I’m here with you. What situations make it worse?,Anxiety
My emotions related to bpd are getting stronger.,Thank you for sharing. Does this feeling come and go?,BPD
I cannot control my thoughts connected to relationship.,I see. What do you think triggers this feeling?,Relationship
I feel like general sadness is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,General Sadness
Lately I am struggling with depression a lot.,Can you tell me what usually happens when you feel this way?,Depression
I think my adhd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,ADHD
My mind is constantly dealing with schizophrenia issues.,Could you describe the last time this happened?,Schizophrenia
Sometimes bipolar makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,Bipolar
I have been feeling anxiety lately.,I understand. Can you tell me more about how long you have felt this?,Anxiety
It's getting hard to manage my bpd symptoms.,That sounds difficult. When did you first notice this happening?,BPD
Sometimes I feel overwhelmed because of relationship.,I’m here with you. What situations make it worse?,Relationship
My emotions related to general sadness are getting stronger.,Thank you for sharing. Does this feeling come and go?,General Sadness
I cannot control my thoughts connected to depression.,I see. What do you think triggers this feeling?,Depression
I feel like adhd is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,ADHD
Lately I am struggling with schizophrenia a lot.,Can you tell me what usually happens when you feel this way?,Schizophrenia
I think my bipolar is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,Bipolar
My mind is constantly dealing with anxiety issues.,Could you describe the last time this happened?,Anxiety
Sometimes bpd makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,BPD
I have been feeling relationship lately.,I understand. Can you tell me more about how long you have felt this?,Relationship
It's getting hard to manage my general sadness symptoms.,That sounds difficult. When did you first notice this happening?,General Sadness
Sometimes I feel overwhelmed because of depression.,I’m here with you. What situations make it worse?,Depression
My emotions related to adhd are getting stronger.,Thank you for sharing. Does this feeling come and go?,ADHD
I cannot control my thoughts connected to schizophrenia.,I see. What do you think triggers this feeling?,Schizophrenia
I feel like bipolar is affecting my daily life.,I’m listening. Has this been affecting your sleep or routine?,Bipolar
Lately I am struggling with anxiety a lot.,Can you tell me what usually happens when you feel this way?,Anxiety
I think my bpd is getting worse day by day.,I’m sorry you're experiencing this. How intense are these feelings?,BPD
My mind is constantly dealing with relationship issues.,Could you describe the last time this happened?,Relationship
Sometimes general sadness makes me feel lost.,I’m here for you. Do these feelings appear suddenly or gradually?,General Sadness
I have been feeling depression lately.,I understand. Can you tell me more about how long you have felt this?,Depression
It's getting hard to manage my adhd symptoms.,That sounds difficult. When did you first notice this happening?,ADHD
Sometimes I feel overwhelmed because of schizophrenia.,I’m here with you. What situations make it worse?,Schizophrenia
My emotions related to bipolar are getting stronger.,Thank you for sharing. Does this feeling come and go?,Bipolar
I cannot control my thoughts connected to anxiety.,I see. What do you think triggers this feeling?,Anxiety
